unique_id,ds,y
M3M_0003,1990-04-01,158.0
M3M_0003,1990-05-01,157.0
M3M_0003,1990-06-01,182.0
M3M_0003,1990-07-01,160.0
M3M_0003,1990-08-01,153.0
M3M_0003,1990-09-01,183.0
M3M_0003,1990-10-01,171.0
M3M_0003,1990-11-01,149.0
M3M_0003,1990-12-01,95.0
M3M_0003,1991-01-01,156.0
M3M_0003,1991-02-01,181.0
M3M_0003,1991-03-01,76.0
M3M_0003,1991-04-01,183.0
M3M_0003,1991-05-01,167.0
M3M_0003,1991-06-01,76.0
M3M_0003,1991-07-01,91.0
M3M_0003,1991-08-01,183.0
M3M_0003,1991-09-01,159.0
M3M_0003,1991-10-01,135.0
M3M_0003,1991-11-01,152.0
M3M_0003,1991-12-01,193.0
M3M_0003,1992-01-01,70.0
M3M_0003,1992-02-01,188.0
M3M_0003,1992-03-01,68.0
M3M_0003,1992-04-01,86.0
M3M_0003,1992-05-01,93.0
M3M_0003,1992-06-01,117.0
M3M_0003,1992-07-01,159.0
M3M_0003,1992-08-01,57.0
M3M_0003,1992-09-01,169.0
M3M_0003,1992-10-01,165.0
M3M_0003,1992-11-01,145.0
M3M_0003,1992-12-01,105.0
M3M_0003,1993-01-01,89.0
M3M_0003,1993-02-01,50.0
M3M_0003,1993-03-01,129.0
M3M_0003,1993-04-01,76.0
M3M_0003,1993-05-01,193.0
M3M_0003,1993-06-01,89.0
M3M_0003,1993-07-01,93.0
M3M_0003,1993-08-01,180.0
M3M_0003,1993-09-01,121.0
M3M_0003,1993-10-01,153.0
M3M_0003,1993-11-01,181.0
M3M_0003,1993-12-01,120.0
M3M_0003,1994-01-01,166.0
M3M_0003,1994-02-01,165.0
M3M_0003,1994-03-01,64.0
M3M_0003,1994-04-01,137.0
M3M_0003,1994-05-01,179.0
M3M_0003,1994-06-01,181.0
M3M_0003,1994-07-01,167.0
M3M_0003,1994-08-01,193.0
M3M_0003,1994-09-01,181.0
M3M_0003,1994-10-01,140.0
M3M_0003,1994-11-01,133.0
M3M_0003,1994-12-01,164.0
M3M_0003,1995-01-01,151.0
M3M_0003,1995-02-01,115.0
M3M_0003,1995-03-01,77.0
M3M_0003,1995-04-01,136.0
M3M_0003,1995-05-01,163.0
M3M_0003,1995-06-01,165.0
M3M_0003,1995-07-01,165.0
M3M_0003,1995-08-01,122.0
M3M_0003,1995-09-01,57.0
M3M_0003,1995-10-01,187.0
M3M_0003,1995-11-01,144.0
M3M_0003,1995-12-01,94.0
M3M_0003,1996-01-01,146.0
M3M_0003,1996-02-01,94.0
M3M_0003,1996-03-01,75.0
M3M_0003,1996-04-01,136.0
M3M_0003,1996-05-01,165.0
M3M_0003,1996-06-01,179.0
M3M_0003,1996-07-01,73.0
M3M_0003,1996-08-01,91.0
M3M_0003,1996-09-01,168.0
M3M_0003,1996-10-01,73.0
M3M_0003,1996-11-01,72.0
M3M_0003,1996-12-01,172.0
M3M_0003,1997-01-01,92.0
M3M_0003,1997-02-01,172.0
M3M_0003,1997-03-01,140.0
M3M_0003,1997-04-01,162.0
M3M_0003,1997-05-01,78.0
M3M_0003,1997-06-01,177.0
M3M_0003,1997-07-01,140.0
M3M_0003,1997-08-01,70.0
M3M_0003,1997-09-01,91.0
M3M_0003,1997-10-01,83.0
M3M_0003,1997-11-01,62.0
M3M_0003,1997-12-01,157.0
M3M_0003,1998-01-01,74.0
M3M_0003,1998-02-01,64.0
M3M_0003,1998-03-01,81.0
M3M_0003,1998-04-01,76.0
M3M_0003,1998-05-01,105.0
M3M_0003,1998-06-01,81.0
M3M_0003,1998-07-01,128.0
M3M_0003,1998-08-01,158.0
M3M_0003,1998-09-01,123.0
M3M_0003,1998-10-01,172.0
M3M_0003,1998-11-01,181.0
M3M_0003,1998-12-01,111.0
M3M_0003,1999-01-01,172.0
M3M_0003,1999-02-01,92.0
M3M_0003,1999-03-01,66.0
M3M_0003,1999-04-01,87.0
M3M_0003,1999-05-01,123.0
M3M_0003,1999-06-01,110.0
M3M_0003,1999-07-01,101.0
M3M_0003,1999-08-01,137.0
M3M_0003,1999-09-01,68.0
M3M_0003,1999-10-01,65.0
M3M_0003,1999-11-01,149.0
M3M_0003,1999-12-01,182.0
M3M_0003,2000-01-01,112.0
M3M_0003,2000-02-01,61.0
M3M_0003,2000-03-01,169.0
M3M_0003,2000-04-01,164.0
M3M_0003,2000-05-01,75.0
M3M_0003,2000-06-01,126.0
